country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,5050,,,,,4550,,,,,4020,,,,,3610,,,,,3720,,,,,4160,,,,,3430,,,,,2620,,,,,2190,,,,,1820,,,,,1590,,1450
Albania,15500,,,,,13500,,,,,11900,,,,,10700,,,,,9650,,,,,8620,,,,,8300,,,,,8700,,,,,8610,,,,,8930,,,,,9340,,9290
Algeria,962,,,,,842,,,,,732,,,,,636,,,,,547,,,,,470,,,,,414,,,,,376,,,,,352,,,,,328,,,,,301,,284
Andorra,20500,,,,,15200,,,,,11700,,,,,9630,,,,,8070,,,,,6510,,,,,5360,,,,,4920,,,,,4440,,,,,3720,,,,,3980,,4480
Angola,27100,,,,,24800,,,,,22500,,,,,19700,,,,,16800,,,,,14400,,,,,12500,,,,,10700,,,,,9190,,,,,7720,,,,,6520,,5920
Antigua and Barbuda,924,,,,,839,,,,,774,,,,,741,,,,,754,,,,,819,,,,,820,,,,,720,,,,,650,,,,,616,,,,,584,,566
Argentina,13700,,,,,12700,,,,,11800,,,,,10900,,,,,10100,,,,,9320,,,,,8680,,,,,8150,,,,,7710,,,,,7310,,,,,6940,,6730
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,,,,,2190,,,,,2250,,,,,2300,,,,,2300,,2270
Australia,46000,,,,,41100,,,,,36800,,,,,34600,,,,,32600,,,,,30200,,,,,28100,,,,,26600,,,,,25200,,,,,23500,,,,,21500,,20500
Austria,7690,,,,,7440,,,,,7260,,,,,7210,,,,,7250,,,,,7210,,,,,7040,,,,,6860,,,,,6780,,,,,6630,,,,,6510,,6440
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090,,,,,1020,,,,,980,,,,,926,,,,,867,,832
