country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,0.34,,0.53,,0.68,,1.05,,1.15,,1.28,,1.07,,0.7
Albania,,,,,,,,0.86,,0.57,,0.8,,1.23,,1.44,,1.36,,1.46,,1.81,,1.76,,1.36
Algeria,0.15,0.2,,,0.4,,,0.31,,0.27,,0.22,,0.32,,0.32,,0.34,,0.32,,0.29,,0.27,,0.28
Andorra,,,,,,,,,,,,,,,,,,1.24,,1.49,,1.67,,1.51,,
Angola,,,,,,,,0.38,,0.3,,0.19,,0.39,,0.5,,0.53,,0.65,,0.63,,0.76,,0.97
Antigua and Barbuda,,,,,,,,,,0.56,,,,0.68,,0.97,,1.11,,0.99,,,,,,
Argentina,,0.79,,,0.6,,,0.94,,1.07,,0.63,,0.63,,0.62,,0.78,,0.96,,1.46,,1.52,,1.1
Armenia,,,,,,,,0.49,,0.55,,0.42,,0.68,,0.96,,1.08,,1.08,,1.25,,1.3,,0.77
Australia,,,,,,,,0.46,,0.57,,0.5,,0.85,,0.93,,0.74,,1.27,,1.39,,1.23,,0.93
Austria,,,,,1.15,,,1.04,,0.82,,0.84,,1.32,,1.32,,1.37,,1.63,,1.81,,1.6,,1.2
Azerbaijan,,,,,,,,0.46,,0.39,,0.37,,0.41,,0.46,,0.74,,0.75,,0.76,,1.21,,0.56
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,1.05,,0.92
Bahrain,,,,,,,,0.26,,0.27,,0.27,,0.27,,0.21,,0.21,,0.21,,0.27,,,,0.43
Bangladesh,,,,,0.36,,,0.47,,0.46,,0.52,,0.59,,0.79,,1.17,,1.09,,1.15,,1.3,,1.12
Barbados,,,,,,,,0.72,,0.95,,0.66,,0.82,,1.11,,1,,1.25,,,,1.81,,
Belarus,,,,,,,,0.34,,0.55,,0.5,,0.62,,0.79,,1.33,,1.08,,0.88,,1.06,,0.6
Belgium,,,,,1.18,,,1.12,,0.96,,1.04,,1.5,,1.63,,1.5,,1.87,,2.09,,1.9,,1.43
Belize,,,,,,,,,,,,,,1.2,,1.27,,0.7,,1.13,,1.44,,1.37,,1.13
Benin,0.63,0.62,,,0.36,,,0.39,,0.48,,0.54,,0.77,,0.81,,1.03,,1.04,,1.24,,1.03,,0.72
Bhutan,,,,,,,,0.59,,0.58,,,,0.78,,,,0.91,,1.08,,1.19,,1.04,,0.98
Bolivia,,0.43,,,0.38,,,0.53,,0.8,,0.69,,0.54,,0.54,,0.68,,0.7,,0.7,,0.7,,0.71
Bosnia and Herzegovina,,,,,,,,0.66,,0.68,,0.74,,0.97,,1.34,,1.13,,1.42,,1.59,,1.51,,1.05
Botswana,0.68,0.41,,,0.38,,,0.31,,0.42,,0.41,,0.66,,0.78,,0.88,,0.93,,1.23,,1.06,,0.71
Brazil,,0.53,,,0.63,,,0.8,,0.92,,0.55,,0.84,,1.26,,1.26,,1.58,,1.39,,1.27,,1.02
Brunei,,,,,,,,0.34,,0.31,,0.3,,0.32,,0.34,,0.38,,0.39,,0.43,,0.41,,0.37
Bulgaria,,,,,0.46,,,0.66,,0.7,,0.68,,0.92,,1.05,,1.28,,1.51,,1.69,,1.49,,1.11
Burkina Faso,1.03,1,,,0.81,,,0.68,,0.68,,0.83,,1.18,,1.15,,1.38,,1.44,,1.43,,1.4,,0.98
Burundi,0.63,0.59,,,0.52,,,0.72,,1.01,,0.58,,1.04,,1.2,,1.39,,1.43,,1.47,,1.53,,1.21
Cambodia,,,,,,,,0.47,,0.61,,0.63,,0.79,,1.01,,0.94,,1.15,,1.35,,1.34,,0.9
Cameroon,0.68,0.69,,,0.68,,,0.64,,0.56,,0.68,,0.95,,1.14,,1.14,,1.2,,1.1,,1.24,,1.03
Canada,,0.47,,,0.45,,,0.41,,0.58,,0.51,,0.68,,0.84,,0.76,,1.21,,1.32,,1.17,,0.81
Cape Verde,0.68,,,,,,,0.81,,0.59,,,,1.4,,,,1.84,,1.84,,2.3,,1.56,,1.02
Central African Republic,1.33,1.28,,,0.82,,,0.81,,,,1,,1.29,,1.37,,1.44,,1.71,,1.71,,1.69,,1.41
Chad,1.05,1.02,,,0.8,,,0.7,,0.68,,0.79,,1.17,,1.31,,1.3,,1.32,,0.95,,0.9,,0.78
Chile,,0.43,,,0.53,,,0.49,,0.64,,0.58,,0.85,,1.09,,0.95,,1.38,,1.56,,1.52,,1.03
China,,,,,0.27,,,0.28,,0.4,,0.42,,0.48,,0.69,,0.99,,1.11,,1.37,,1.17,,0.96
Colombia,,0.23,,,0.35,,,0.24,,0.49,,0.44,,0.72,,0.98,,1.04,,1.41,,1.28,,1.08,,0.68
"Congo, Dem. Rep.",0.81,0.74,,,0.73,,,0.5,,1,,0.7,,0.92,,0.94,,1.23,,1.28,,1.48,,1.68,,1.49
"Congo, Rep.",1.05,,,,,,,0.72,,0.53,,0.69,,0.87,,0.96,,0.81,,1.27,,1.15,,1.13,,0.97
Costa Rica,,,,,,,,,,,,0.64,,0.78,,0.98,,1.24,,1.14,,1.57,,1.44,,0.98
Cote d'Ivoire,1.24,1.23,,,0.83,,,0.74,,0.76,,0.85,,1.14,,1.2,,1.33,,1.68,,1.51,,1.42,,0.93
Croatia,,,,,0.75,,,0.67,,0.76,,0.89,,1.24,,1.34,,1.27,,1.59,,1.77,,1.66,,1.26
Cuba,,,,,,,,0.5,,,,0.9,,0.95,,1.1,,1.67,,1.72,,1.4,,1.4,,
Cyprus,,,,,,,,0.78,,0.57,,0.83,,1.08,,1.25,,1.28,,1.47,,1.77,,1.61,,1.23
Czech Republic,,,,,0.85,,,0.72,,0.77,,0.81,,1.08,,1.3,,1.37,,1.75,,1.93,,1.67,,1.17
Denmark,,,,,1.08,,,1.05,,1.01,,1.09,,1.51,,1.58,,1.54,,2,,2.02,,2.01,,1.55
Djibouti,,,,,,,,,,,,,,,,,,,,1.63,,1.75,,1.41,,1.32
Dominican Republic,,,,,0.4,,,0.4,,0.71,,0.49,,0.85,,1.03,,1.04,,1.23,,1.58,,1.41,,1.07
Ecuador,,0.31,,,0.33,,,0.38,,0.31,,0.55,,0.54,,0.47,,0.51,,0.53,,0.58,,0.6,,0.61
Egypt,0.29,0.3,,,0.29,,,0.29,,0.26,,0.19,,0.28,,0.3,,0.49,,0.48,,0.45,,0.88,,0.4
El Salvador,,,,,,,,0.54,,0.67,,0.46,,0.65,,0.82,,0.78,,0.92,,1.26,,1.12,,0.83
Eritrea,,0.5,,,0.4,,,0.37,,0.56,,0.36,,0.8,,1.9,,2.53,,2.54,,2.49,,3.33,,2
Estonia,,,,,0.33,,,0.45,,0.6,,0.58,,0.94,,1.23,,1.18,,1.54,,1.76,,1.46,,1.14
Ethiopia,0.27,0.26,,,0.32,,,0.36,,0.46,,0.52,,0.6,,0.93,,0.92,,0.91,,1.05,,0.99,,0.75
Fiji,,,,,,,,0.5,,,,,,0.91,,1.07,,1.15,,,,1.41,,1.34,,0.82
Finland,,,,,1.2,,,1.17,,1.06,,1.12,,1.54,,1.55,,1.57,,1.94,,2.08,,1.89,,1.45
France,,,,,1.17,,,1.11,,0.99,,1.05,,1.42,,1.48,,1.52,,1.98,,1.91,,1.79,,1.39
Gabon,1.18,1.16,,,,,,0.63,,0.53,,0.69,,0.9,,0.64,,1.14,,,,1.04,,1.02,,0.92
Gambia,0.73,0.67,,,,,,0.83,,0.64,,0.46,,0.75,,1.08,,0.79,,,,,,1.37,,1.18
Georgia,,,,,,,,0.46,,,,0.48,,0.73,,0.86,,1.09,,1.13,,1.34,,1.24,,0.76
Germany,,,,,1.12,,,0.96,,0.91,,1.03,,1.46,,1.55,,1.56,,1.9,,1.96,,1.8,,1.39
Ghana,0.53,0.53,,,0.38,,,0.32,,0.2,,0.28,,0.49,,0.86,,0.9,,0.82,,0.92,,1.06,,0.92
Greece,,,,,0.88,,,0.65,,0.72,,0.78,,1.14,,1.16,,1.23,,2.05,,2.06,,1.98,,1.54
Grenada,,,,,,,,0.54,,0.54,,0.54,,0.73,,0.89,,1.28,,1.02,,1.4,,,,1.12
Guatemala,,0.32,,,0.39,,,0.41,,0.53,,0.48,,0.68,,0.78,,0.86,,0.95,,1.14,,1.01,,0.79
Guinea,0.67,0.61,,,,,,0.68,,0.85,,0.66,,0.75,,0.79,,1.02,,0.95,,1.34,,1.45,,0.9
Guyana,,,,,,,,0.3,,0.37,,0.31,,0.74,,,,0.84,,0.93,,1.08,,1.15,,0.9
Haiti,,,,,,,,0.59,,0.64,,0.54,,0.88,,,,1.16,,,,1.25,,1.16,,0.81
Honduras,,0.41,,,0.35,,,0.5,,0.62,,0.63,,0.81,,0.89,,0.8,,1.04,,1.25,,1.2,,0.98
Hungary,,,,,0.74,,,0.72,,0.81,,0.94,,1.3,,1.3,,1.27,,1.67,,1.84,,1.58,,1.18
Iceland,,,,,,,,1.12,,1.05,,1.16,,1.64,,1.86,,1.15,,1.71,,1.99,,1.85,,1.69
India,0.56,,,,0.48,,,0.56,,0.6,,0.66,,0.87,,1.01,,1.09,,1.15,,1.25,,1.1,,0.97
Indonesia,0.24,,,,0.44,,,0.16,,0.17,,0.27,,0.27,,0.57,,0.5,,0.79,,0.47,,0.93,,0.63
Iran,,,,,,,,0.08,,0.05,,0.07,,0.09,,0.09,,0.1,,0.097,,0.33,,0.374,,0.399
Iraq,,,,,,,,,,,,,,,,,,,,0.78,,,,0.43,,0.61
Ireland,,,,,0.96,,,1.02,,0.72,,0.9,,1.29,,1.34,,1.56,,1.78,,2.02,,1.92,,1.37
Israel,,,,,0.73,,,0.86,,1.14,,0.9,,1.05,,1.47,,1.37,,1.85,,2.01,,1.88,,1.57
Italy,,,,,1.18,,,1.19,,0.97,,1.05,,1.53,,1.56,,1.57,,1.87,,2.28,,2.14,,1.61
