country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,12.4,,,14.3,,,18.9,,24,,34.3,38.6,39.9,,45.2,50.5,,
Albania,,,,,,92.7,93,92.6,86.4,87.2,89.1,89.1,91.2,98.8,99.1,99,99.1,99,98,98.8,99.3,99.8,99,,,99.3,,,,,,,,
Algeria,,,,,,,,,76.5,,,,,,,,92.6,,95.9,,,,95.2,,,,,,96.6,96.6,,,,
Angola,,,,,,,,,,,,,22.5,,,,,44.7,,,,,,47.3,,,,,,,,,46.9,
Antigua and Barbuda,,,,,,,,,,,,100,100,,100,,99.9,100,99,99,100,99.9,99.9,100,100,100,100,,100,100,100,,,
Argentina,,,,,,,96.9,,95.8,,,98.5,,97.2,97.5,97.5,99.1,98.4,98.9,98.7,99.1,99.1,99.4,99.4,94.8,97.9,95,97.1,98.2,97,99.6,99.6,,
Armenia,,,,,,99.7,99.7,99.7,98.3,95.5,93.3,93.1,95.7,96.4,97.4,98.8,96.8,98.4,98.8,99.2,99.5,97.8,99.7,99.9,99.9,100,99.5,100,100,100,100,,99.8,
Australia,,,,,,,,99.6,99.3,99.3,99.4,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.4,99.3,99.2,99.1,99.1,99.1,99.1,,99.3,99.7,99.7,,
Austria,,,,,,,,,,100,,,98.2,98.2,98.3,98.3,98.3,98.3,98.4,98.4,98.4,98.6,98.6,98.5,98.6,98.6,98.5,98.6,98.5,98.5,98.5,98.5,98.4,
Azerbaijan,,,,,,97.3,97.3,97.2,96.5,96.3,99.6,91.5,87.9,90.4,91.5,92.4,80.7,88,94,95.8,95.9,94.4,88.6,93,98,99.8,99.4,97.2,99.8,99.9,99.9,99.8,99.8,
Bahamas,,,,,,,99,,,,,99,,99,99,99,99,,99,99,98,,99,99,99,,99,99,,98,99.6,,,
Bahrain,,,,,,,,,,,,97.6,,,,,97.7,97.5,97.6,97.8,97.7,97.5,97.5,97.4,97.5,99.4,99.3,99.6,99.8,99.8,99.8,99.7,,
Bangladesh,,,,,,,,,,,9.5,,,8,,,12.1,12,,13.9,13.2,,20.1,18,,24.4,26.5,31.7,,36.5,42.1,,49.8,
Barbados,,,,,,,,,,,,100,,,,91,98,,100,100,100,100,100,100,100,,,100,98.9,98.6,99.7,99,,
Belarus,,,100,,,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100,99.9,99.9,99.9,99.9,99.9,99.8,100,99.8,99.8,,,
Belgium,,,,100,,,,,,,,,,,,99.3,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,76.9,,,,79,,,79,83.8,100,,97,,87.8,89.3,95.8,94.6,94.9,93.5,94,96.2,,94.2,,,96.8,
Benin,,,,,,,,,,,,,59.8,,,,,65.5,,,,75,74,,,,,,80.9,,77.2,,,
Bhutan,,,,,,,,,,,12,,,,,,23.7,,,56.1,,52.3,57.1,71.4,66.3,66,64.5,70,74.6,89,89,89,89,
Bolivia,,,,,,42.1,,,,,47.2,,,,59.3,,67.3,,65.1,60.8,,,,,71.1,,,84,84.8,,,,89.8,
Bosnia and Herzegovina,,,,,,96.6,97,97.4,,,,,98.9,99,99.5,99.7,98.9,99.9,99.9,99.9,99.9,99.9,99.4,99.9,99.9,99.9,99.9,99.9,99.9,,99.9,99.9,,
Botswana,,,,,77.4,,,,,,,,87,,,,98.5,92,96.5,96.1,97.3,94,99.3,94.6,98.3,99.5,99.1,99.8,99.8,99.9,99.5,99.7,,
Brazil,,,,,,,,69.5,,,,,87.6,98.6,98.6,98.6,98.6,98.3,98.5,98.4,98.6,98.6,97,98.6,98.8,98.9,98.9,99,99,99.1,99.1,99.1,,
Brunei,,,,,,,,97.8,98,97.8,98.2,96.2,98.9,99.6,99.3,99.4,99.2,99.7,99.4,99.4,99.4,99.6,99.6,99.9,99.7,99.8,99.8,99.6,99.8,99.7,99.9,100,100,
Bulgaria,,,,,,99.3,99.1,99.5,99.8,99,99,98.9,99.9,99.9,99.9,99,99.8,98.9,99.2,99.2,99.4,99.4,99.4,99.6,99.6,99.6,99.5,,,99.7,99.7,99.8,,
Burkina Faso,,,,,,,,,,41.5,,,,,,31,,,,37.8,,,53.5,,,,65.9,,,,,79.8,,
Burundi,,,,19.1,,,,,,,,,,,,,25.2,,,,,31.8,,,,,60.3,,,,,,,85.1
Cambodia,,,,,,,,,,,,43.3,,,34,,31.8,,,,16.3,43.8,,,,,71,71.7,74,,89,,,
Cameroon,,,,,,,,58.4,,,,,,,55,,56,,,,58.9,,58.9,,,,,56.1,,,64.7,,,
Canada,,,,100,,,,99.1,99.6,99.4,99.3,99.4,99.2,99.3,99.3,99.2,99.3,99.3,99.3,98.9,99,98.8,98.8,98.8,98.7,98.6,98.5,98.4,98.1,98,97.9,,,
Cape Verde,,,,,,,,,,,,54,,,88.5,,,,,,,77.5,76.4,74.4,74.6,75.6,98.5,98.7,,92.3,95.6,91.4,,
Central African Republic,,,,,,,,,,,,45.9,,,,,31.7,,,,,,41.4,,43.7,43.7,40,,,,,,,
Chad,,,,,,,,,,,,,,15,,,13.7,,,,14.4,,,,,,16.6,,,,,20.2,,
Chile,,,,,,,,,,99,99.5,99.5,99.6,99.4,99.6,99.4,99,99.8,99.8,97.7,99.8,99.8,99.8,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.7,,
China,,,,,,,94,93.7,84.1,83.6,90.4,89.3,93.1,93.8,,96.8,96.6,97.3,96.7,95.9,97.3,97.5,97.8,98.4,99.1,99.3,99.6,99.7,99.8,99.9,99.9,99.9,,
Colombia,,,71.1,,,,80.6,,,,,83.6,,,91.3,92.1,86.1,93.1,94.5,95,95.6,90.7,97.1,97.8,98.1,98.6,94.8,99.2,98.7,98.7,98.9,95.9,99.2,
Comoros,,,,,,,,,,,,,51.6,,,,61.8,,,,,,,,,,,,82.2,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,60.7,,,,,,64.4,,,74.1,,,,80.1,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,83.4,,,,,,,92.5,,,91.2,,
Costa Rica,,,97,,,,,,98,97,,,,,98,98.2,96.6,98,98.5,98.2,98.5,98.5,98.6,98.7,99.1,99.1,95.3,98.4,98.9,99,99.2,90,,
Cote d'Ivoire,,,,,,,,,,,45.4,,,,,47.1,62.8,,,,68,55.1,56.8,,,,,,59.4,,,,73.6,
Croatia,,,,,,99.7,99.8,99.8,99.8,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,,
Cuba,,,,,,,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.4,99.9,99.9,
Cyprus,,,,,,,100,100,100,100,100,100,100,100,100,100,97.9,,,99,95.7,99.3,98.5,98.3,97.2,98.3,98.6,98.3,98.7,99.9,97.4,,,
Czech Republic,,,,,,100,100,100,100,100,100,100,100,100,99.9,99.9,99.8,99.8,99.8,99.8,99.8,99.8,99.7,99.7,99.6,99.6,99.7,99.9,99.9,99.8,,,,
Denmark,,,,100,,,,,,,,,,98.3,98.8,98.7,98.8,98.9,98.8,98.9,98.6,98.8,98.7,97.8,,98.7,98.5,98.5,98.2,96.3,95.9,95.4,94.4,
Djibouti,,,,,,,,,,,,,,,,,,,,60.6,,,78.4,,,,,,87.4,,,,,
Dominica,,,,,,,,,,,,100,,,95,99.9,100,100,100,100,100,99,,94,100,100,,100,100,100,100,96,96,
Dominican Republic,,,89.8,,,,,92.4,,,,,95.5,,,96.6,97.6,,97.8,,,,95.5,97.8,,,96.9,98.7,98.8,98.6,97.7,99.6,,
Ecuador,,,,61.3,,,,,,,98.7,,,,,99.1,,,,,98.2,80,82.6,84.1,85.8,87.7,89.2,91.1,93.1,94.7,96.3,95,96.7,
Egypt,,,,,34.6,,,36.5,40.7,,,46.3,,56.4,55.2,,60.9,,,69.4,,74.2,,,78.9,,,,,,91.5,,,
El Salvador,,85.4,,,90,,,,,87.4,,,,,90.4,,,,,92.4,,87.2,89.6,93.1,95.5,97.5,98,99,99.5,99.8,98,99.9,99.9,
Equatorial Guinea,,,,,,,,,,,5,,,,,,64.6,,,,,,,,,,,68.3,,,,,,
Eritrea,,,,,,,,,,,,20.6,,,,,,,28.3,,,,,,,,34.1,,,,,,,
Estonia,,,,,,99,,,98.9,99.1,99.1,99.3,99.4,99.3,99.5,99.5,99.5,99.6,99.5,99.4,99.7,99.6,99.5,99.4,99.3,99.2,99.3,99.4,99.3,99.4,99.4,99.5,99.4,
Ethiopia,,,,,,,,,,,,,,,6.5,,5.6,,,,6.4,5.7,,,,,,10,,23.1,15.5,,27.7,
Fiji,,,,,,,95.3,94.5,,97.6,96.2,96.2,96.3,96.2,96.7,96.4,96.9,98.4,96.9,96.7,97,97.2,99.3,99,98.8,99.8,99.7,99.6,99.3,98.8,99.7,99.9,,
Finland,,,,,,,98.8,,98.6,98.6,98.5,98.5,98.4,98.4,98.3,98.4,98.4,98.5,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.7,99.8,,99.7,99.9,,
France,,,,,,,,,,99,,,,,,,,99.6,,,98,97.9,98.3,98.1,98,97.9,97.5,96.2,97.1,98.3,98.3,97.7,97.4,
Gabon,,,,,,,,,,,,,,,,,85.5,,,,,,,,,,,,89.3,,,,,
Gambia,,,,,,,44.1,,,,,,,,,,51.6,,,,,,52.1,,,,56.1,,,57.2,,,,
Georgia,,,,,,94.6,96.6,91.3,91.1,90.8,,,,,96,96.4,95.5,96.6,97.4,97.2,97.5,98.3,98.8,99.4,99.6,99.9,99.6,99.8,99.8,99.9,99.9,99.9,,
