country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,16.2,17.5,20.9,24.4,28.4,31.8,38.7,42.3,45.6,51.6,52.2,56,60.1,60.1
Albania,75.5,81.9,89.9,114,152,166,173,216,240,207,204,248,247,278,315,266
Algeria,61.3,66.5,66.2,75.4,92.1,100,116,150,206,207,228,286,334,330,358,292
Andorra,2050,2080,2330,3010,3540,4040,4250,4760,4990,4720,4600,4860,4640,5750,5090,4320
Angola,13.9,27.3,30.2,36.7,52.1,57.4,74.3,92.6,135,120,96.7,122,122,144,132,109
Antigua and Barbuda,381,409,407,433,424,490,545,597,677,618,673,684,640,656,732,657
Argentina,418,403,138,218,251,327,380,465,567,577,699,807,865,921,845,998
Armenia,40.5,45.4,44.6,52.2,98.1,116,121,171,174,140,169,133,247,318,281,366
Australia,1630,1560,1760,2240,2760,3000,3180,3790,4090,4000,4950,5880,6050,5840,5640,4930
Austria,2260,2280,2490,3080,3550,3680,3840,4420,4960,4840,4720,5080,4910,5160,5300,4540
Azerbaijan,24.9,25.7,28,52.1,75.5,115,140,179,222,268,287,345,384,423,447,368
Bahamas,1080,1090,1180,1210,1290,1370,1610,1690,1720,1650,1630,1640,1720,1660,1640,1690
Bahrain,467,473,488,507,502,532,556,604,658,668,681,694,972,1070,1170,1190
Bangladesh,8.31,8.11,9.06,9.96,10.7,11.3,12,13.9,15.3,17.4,20.2,22.2,22.7,25.9,28.8,31.8
Barbados,605,624,672,791,855,897,974,1030,1120,1150,1100,1150,1280,1260,1180,1160
Belarus,57.4,73.8,86.6,109,142,197,222,279,350,285,306,294,357,444,437,352
Belgium,1840,1870,2070,2790,3240,3340,3470,3970,4520,4520,4400,4810,4560,4820,4930,4230
Belize,133,154,155,165,166,175,186,213,226,246,253,254,254,272,281,301
Benin,16,17,17.5,21.6,24.6,24.2,25.5,28,30.3,30.7,31.1,35,39.1,35.8,34.4,31.3
Bhutan,31.7,32.6,32.5,36.6,40.8,41.9,44,55.1,53.7,57.6,69.3,74,77,78.6,79.9,91.1
Bolivia,43.5,45.3,43.8,47.1,46.9,51.9,56.6,64.2,78.7,90.3,101,120,136,163,180,197
Bosnia and Herzegovina,105,110,125,180,245,262,303,388,484,425,417,464,448,478,497,431
Botswana,195,206,145,241,305,281,269,300,321,350,381,471,499,378,398,389
Brazil,313,270,246,251,296,384,484,600,705,720,895,1030,961,976,1010,780
Brunei,508,465,473,535,619,646,655,703,789,742,803,876,882,946,899,812
Bulgaria,94.5,120,148,196,233,268,294,361,456,459,485,557,558,601,666,572
